,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Primary Built,Secondary Built,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Total Cu Cost,Total Fe Cost,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe,Primary current,Primary voltage,Primary power,Secondary current,Secondary voltage,Secondary power,Frequency,B max,bobbin,efficiency,Primary Layers,Secondary Layers,Weight Cu Primary,weight Cu Secondary
1,Lamination S14,3x3x2,3.3,6.6,3x3x2,3.3,6.6,130.0,88.7,133.0,44.65,13.2,13.399999999999999,31.599999999999998,69.7119554313,136.91241335853812,93.45865350652784,25.854130668287134,11717.0568,11618.659238549999,46.474636954199994,12.333744,23335.71603855,72,73,51,56,37,37,3672,4088,0.034272,0.03815466666666666,917.9659999999999,2214.8498,12.333744,46.474636954199994,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.97558564590993,2,2,5.836276799999999,6.4974672
2,Lamination S12,3x3x2,3.3,6.6,3x3x2,3.3,6.6,100.0,100.0,152.0,51.0,13.2,13.399999999999999,31.599999999999998,68.77493999999999,147.37492123503466,93.13634523582286,24.605760932501564,12612.44529,11462.49,45.849959999999996,13.2762582,24074.93529,83,84,47,53,43,43,3901,4452,0.03640933333333333,0.041552,992.2559999999999,2320.0,13.2762582,45.849959999999996,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.88423364798896,2,2,6.2002494,7.0760088
0,Lamination 8C,3x3x2,3.3,6.6,3x3x2,3.3,6.6,95.0,76.2,240.8,41.45,13.2,13.399999999999999,31.599999999999998,58.89721414589998,179.83868935097667,81.02632646969867,23.12418103135149,15390.716489999999,9816.202357649998,39.26480943059999,16.2007542,25206.91884765,114,115,42,47,70,70,4788,5405,0.04468799999999999,0.05044666666666666,1433.2416,2141.9256,16.2007542,39.26480943059999,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.66830685206618,2,2,7.6100471999999995,8.590707
3,Lamination S15,3x3x2,3.3,6.6,3x3x2,3.3,6.6,65.0,126.0,189.0,63.5,13.2,13.399999999999999,31.599999999999998,70.36187066999999,173.75173282923754,91.21335759659608,21.404357374529486,14869.790640000001,11726.978444999999,46.907913779999994,15.652411200000001,26596.769085,101,102,46,51,54,54,4646,5202,0.04336266666666666,0.04855199999999999,1199.772,2809.84,15.652411200000001,46.907913779999994,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.61703537321324,2,2,7.3843524,8.2680588
42,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,100.0,120.0,125.0,40.0,13.6,13.799999999999999,32.4,77.62715999999999,133.70132325141776,95.43598564677774,25.583059304976018,11442.249539999999,12937.859999999999,51.751439999999995,12.044473199999999,24380.109539999998,69,70,52,57,35,35,3588,3990,0.033488,0.037239999999999995,874.0,2498.0,12.044473199999999,51.751439999999995,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.93045064020771,2,2,5.702767199999999,6.341705999999999
63,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,100.0,120.0,125.0,45.0,13.6,13.799999999999999,32.4,78.98904,133.70132325141776,95.43598564677774,25.581600877858833,11442.249539999999,13164.84,52.65936,12.044473199999999,24607.08954,69,70,52,57,35,35,3588,3990,0.033488,0.037239999999999995,874.0,2542.0,12.044473199999999,52.65936,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.91739144450372,2,2,5.702767199999999,6.341705999999999
43,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,100.0,120.0,130.0,40.0,13.6,13.799999999999999,32.4,78.98904,133.70132325141776,92.3937565262146,25.66502565304119,11442.249539999999,13164.84,52.65936,12.044473199999999,24607.08954,69,70,52,57,36,36,3588,3990,0.033488,0.037239999999999995,908.96,2532.0,12.044473199999999,52.65936,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.91739144450372,2,2,5.702767199999999,6.341705999999999
153,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,105.0,120.0,125.0,40.0,13.6,13.799999999999999,32.4,81.508518,130.2785129174543,92.32404016915501,26.147580572988165,11149.32312,13584.752999999999,54.339012,11.7361296,24734.076119999998,66,67,53,58,35,35,3498,3886,0.032647999999999996,0.03626933333333333,886.5,2554.5,11.7361296,54.339012,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.92605319444831,2,2,5.5597212,6.1764084
427,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,110.0,120.0,120.0,40.0,13.6,13.799999999999999,32.4,83.891808,126.64398235664774,92.2116546950646,26.592770545102105,10838.277539999997,13981.967999999999,55.927871999999994,11.408713199999998,24820.245539999996,63,64,54,59,33,33,3402,3776,0.031751999999999996,0.035242666666666665,863.04,2576.0,11.408713199999998,55.927871999999994,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.93805345106877,2,2,5.4071388,6.001574399999999
79,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,100.0,120.0,125.0,50.0,13.6,13.799999999999999,32.4,80.35092,133.70132325141776,95.43598564677774,25.580192063494053,11442.249539999999,13391.82,53.56728,12.044473199999999,24834.069539999997,69,70,52,57,35,35,3588,3990,0.033488,0.037239999999999995,874.0,2586.0,12.044473199999999,53.56728,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.9043357312682,2,2,5.702767199999999,6.341705999999999
44,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,100.0,120.0,135.0,40.0,13.6,13.799999999999999,32.4,80.35092,133.70132325141776,89.5579494270573,25.744766922908802,11442.249539999999,13391.82,53.56728,12.044473199999999,24834.069539999997,69,70,52,57,38,38,3588,3990,0.033488,0.037239999999999995,943.92,2566.0,12.044473199999999,53.56728,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.9043357312682,2,2,5.702767199999999,6.341705999999999
